,entity_id,node_type,node_id,cluster
0,MMM,company,0,2
1,AOS,company,1,2
2,ABT,company,2,0
3,ABBV,company,3,0
4,ACN,company,4,0
5,ADBE,company,5,0
6,AMD,company,6,0
7,AES,company,7,2
8,AFL,company,8,2
9,A,company,9,2
10,APD,company,10,2
11,ABNB,company,11,0
12,AKAM,company,12,2
13,ALB,company,13,2
14,ARE,company,14,2
15,ALGN,company,15,0
16,ALLE,company,16,0
17,LNT,company,17,2
18,ALL,company,18,0
19,GOOGL,company,19,0
20,GOOG,company,20,0
21,MO,company,21,0
22,AMZN,company,22,0
23,AMCR,company,23,2
24,AEE,company,24,2
25,AEP,company,25,2
26,AXP,company,26,0
27,AIG,company,27,0
28,AMT,company,28,0
29,AWK,company,29,2
30,AMP,company,30,0
31,AME,company,31,0
32,AMGN,company,32,2
33,APH,company,33,2
34,ADI,company,34,2
35,ANSS,company,35,2
36,AON,company,36,0
37,APA,company,37,0
38,APO,company,38,0
39,AAPL,company,39,0
40,AMAT,company,40,0
41,APTV,company,41,2
42,ACGL,company,42,0
43,ADM,company,43,2
44,ANET,company,44,2
45,AJG,company,45,2
46,AIZ,company,46,0
47,T,company,47,0
48,ATO,company,48,2
49,ADSK,company,49,2
50,ADP,company,50,2
51,AZO,company,51,0
52,AVB,company,52,2
53,AVY,company,53,2
54,AXON,company,54,2
55,BKR,company,55,0
56,BALL,company,56,2
57,BAC,company,57,2
58,BAX,company,58,0
59,BDX,company,59,0
60,BRK-B,company,60,2
61,BBY,company,61,2
62,TECH,company,62,2
63,BIIB,company,63,2
64,BLK,company,64,2
65,BX,company,65,0
66,BK,company,66,0
67,BA,company,67,2
68,BKNG,company,68,0
69,BSX,company,69,0
70,BMY,company,70,0
71,AVGO,company,71,0
72,BR,company,72,2
73,BRO,company,73,2
74,BF-B,company,74,0
75,BLDR,company,75,0
76,BG,company,76,0
77,BXP,company,77,2
78,CHRW,company,78,2
79,CDNS,company,79,2
80,CZR,company,80,2
81,CPT,company,81,0
82,CPB,company,82,0
83,COF,company,83,0
84,CAH,company,84,0
85,KMX,company,85,2
86,CCL,company,86,0
87,CARR,company,87,0
88,CAT,company,88,2
89,CBOE,company,89,2
90,CBRE,company,90,2
91,CDW,company,91,2
92,COR,company,92,0
93,CNC,company,93,0
94,CNP,company,94,2
95,CF,company,95,2
96,CRL,company,96,2
97,SCHW,company,97,0
98,CHTR,company,98,0
99,CVX,company,99,0
100,CMG,company,100,0
101,CB,company,101,0
102,CHD,company,102,0
103,CI,company,103,0
104,CINF,company,104,2
105,CTAS,company,105,0
106,CSCO,company,106,0
107,C,company,107,0
108,CFG,company,108,0
109,CLX,company,109,0
110,CME,company,110,2
111,CMS,company,111,2
112,KO,company,112,0
113,CTSH,company,113,0
114,COIN,company,114,0
115,CL,company,115,0
116,CMCSA,company,116,0
117,CAG,company,117,0
118,COP,company,118,0
119,ED,company,119,2
120,STZ,company,120,0
121,CEG,company,121,2
122,COO,company,122,0
123,CPRT,company,123,2
124,GLW,company,124,2
125,CPAY,company,125,0
126,CTVA,company,126,0
127,CSGP,company,127,0
128,COST,company,128,0
129,CTRA,company,129,0
130,CRWD,company,130,2
131,CCI,company,131,2
132,CSX,company,132,0
133,CMI,company,133,2
134,CVS,company,134,0
135,DHR,company,135,2
136,DRI,company,136,0
137,DVA,company,137,0
138,DAY,company,138,2
139,DECK,company,139,0
140,DE,company,140,2
141,DELL,company,141,2
142,DAL,company,142,0
143,DVN,company,143,0
144,DXCM,company,144,0
145,FANG,company,145,0
146,DLR,company,146,0
147,DG,company,147,0
148,DLTR,company,148,0
149,D,company,149,2
150,DPZ,company,150,2
151,DASH,company,151,2
152,DOV,company,152,0
153,DOW,company,153,2
154,DHI,company,154,0
155,DTE,company,155,2
156,DUK,company,156,2
157,DD,company,157,0
158,EMN,company,158,0
159,ETN,company,159,2
160,EBAY,company,160,0
161,ECL,company,161,2
162,EIX,company,162,2
163,EW,company,163,0
164,EA,company,164,2
165,ELV,company,165,0
166,EMR,company,166,2
167,ENPH,company,167,2
168,ETR,company,168,2
169,EOG,company,169,0
170,EPAM,company,170,2
171,EQT,company,171,2
172,EFX,company,172,2
173,EQIX,company,173,0
174,EQR,company,174,2
175,ERIE,company,175,2
176,ESS,company,176,2
177,EL,company,177,0
178,EG,company,178,2
179,EVRG,company,179,2
180,ES,company,180,2
181,EXC,company,181,2
182,EXE,company,182,0
183,EXPE,company,183,0
184,EXPD,company,184,0
185,EXR,company,185,2
186,XOM,company,186,0
187,FFIV,company,187,0
188,FDS,company,188,2
189,FICO,company,189,2
190,FAST,company,190,2
191,FRT,company,191,2
192,FDX,company,192,0
193,FIS,company,193,0
194,FITB,company,194,2
195,FSLR,company,195,0
196,FE,company,196,0
197,FI,company,197,0
198,F,company,198,2
199,FTNT,company,199,0
200,FTV,company,200,2
201,FOXA,company,201,0
202,FOX,company,202,0
203,BEN,company,203,2
204,FCX,company,204,2
205,GRMN,company,205,2
206,IT,company,206,0
207,GE,company,207,2
208,GEHC,company,208,2
209,GEV,company,209,2
210,GEN,company,210,0
211,GNRC,company,211,2
212,GD,company,212,0
213,GIS,company,213,0
214,GM,company,214,2
215,GPC,company,215,2
216,GILD,company,216,0
217,GPN,company,217,0
218,GL,company,218,0
219,GDDY,company,219,0
220,GS,company,220,0
221,HAL,company,221,2
222,HIG,company,222,0
223,HAS,company,223,2
224,HCA,company,224,0
225,DOC,company,225,2
226,HSIC,company,226,0
227,HSY,company,227,0
228,HES,company,228,2
229,HPE,company,229,0
230,HLT,company,230,2
231,HOLX,company,231,0
232,HD,company,232,2
233,HON,company,233,0
234,HRL,company,234,0
235,HST,company,235,0
236,HWM,company,236,2
237,HPQ,company,237,0
238,HUBB,company,238,0
239,HUM,company,239,2
240,HBAN,company,240,0
241,HII,company,241,0
242,IBM,company,242,2
243,IEX,company,243,2
244,IDXX,company,244,0
245,ITW,company,245,0
246,INCY,company,246,0
247,IR,company,247,2
248,PODD,company,248,0
249,INTC,company,249,2
250,ICE,company,250,2
251,IFF,company,251,2
252,IP,company,252,2
253,IPG,company,253,0
254,INTU,company,254,2
255,ISRG,company,255,0
256,IVZ,company,256,0
257,INVH,company,257,2
258,IQV,company,258,2
259,IRM,company,259,2
260,JBHT,company,260,0
261,JBL,company,261,2
262,JKHY,company,262,0
263,J,company,263,2
264,JNJ,company,264,0
265,JCI,company,265,0
266,JPM,company,266,0
267,JNPR,company,267,2
268,K,company,268,0
269,KVUE,company,269,0
270,KDP,company,270,0
271,KEY,company,271,2
272,KEYS,company,272,2
273,KMB,company,273,0
274,KIM,company,274,2
275,KMI,company,275,2
276,KKR,company,276,0
277,KLAC,company,277,0
278,KHC,company,278,0
279,KR,company,279,0
280,LHX,company,280,2
281,LH,company,281,2
282,LRCX,company,282,2
283,LW,company,283,0
284,LVS,company,284,2
285,LDOS,company,285,0
286,LEN,company,286,0
287,LII,company,287,0
288,LLY,company,288,0
289,LIN,company,289,2
290,LYV,company,290,2
291,LKQ,company,291,0
