Ticker,Name,GICS Sector,GICS Sub-Industry,CIK
MMM,3M,Industrials,Industrial Conglomerates,0000066740
AOS,A. O. Smith,Industrials,Building Products,0000091142
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0000001800
ABBV,AbbVie,Health Care,Biotechnology,0001551152
ACN,Accenture,Information Technology,IT Consulting & Other Services,0001467373
ADBE,Adobe Inc.,Information Technology,Application Software,0000796343
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0000002488
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,0000874761
AFL,Aflac,Financials,Life & Health Insurance,0000004977
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,0001090872
APD,Air Products,Materials,Industrial Gases,0000002969
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001559720
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,0001086222
ALB,Albemarle Corporation,Materials,Specialty Chemicals,0000915913
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0001035443
ALGN,Align Technology,Health Care,Health Care Supplies,0001097149
ALLE,Allegion,Industrials,Building Products,0001579241
LNT,Alliant Energy,Utilities,Electric Utilities,0000352541
ALL,Allstate,Financials,Property & Casualty Insurance,0000899051
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,0001652044
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,0001652044
MO,Altria,Consumer Staples,Tobacco,0000764180
AMZN,Amazon,Consumer Discretionary,Broadline Retail,0001018724
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,0001748790
AEE,Ameren,Utilities,Multi-Utilities,0001002910
AEP,American Electric Power,Utilities,Electric Utilities,0000004904
AXP,American Express,Financials,Consumer Finance,0000004962
AIG,American International Group,Financials,Multi-line Insurance,0000005272
AMT,American Tower,Real Estate,Telecom Tower REITs,0001053507
AWK,American Water Works,Utilities,Water Utilities,0001410636
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0000820027
AME,Ametek,Industrials,Electrical Components & Equipment,0001037868
AMGN,Amgen,Health Care,Biotechnology,0000318154
APH,Amphenol,Information Technology,Electronic Components,0000820313
